Standard_functions_variables_types;name;type;comment;;;;
;N;ANY_INT;Number of bits to be shifted;;;;
;L;ANY_INT;Left position within character string;;;;
;P;ANY_INT;Position within character string;;;;
;G;BOOL;Selection out of 2 inputs (gate);;;;
;K;ANY_INT;Selection out of n inputs;;;;
;MN;ANY;Minimum value for limitation;;;;
;MX;ANY;Maximum value for limitation;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Standard_functions_type;name;baseinputnumber;inputs;outputs;comment;extensible;filter
("Type conversion");*_TO_**;1;(ANY);ANY;"Data type conversion";no;ANY_TO_ANY
;TRUNC;1;(ANY_REAL);ANY_INT;"Rounding up/down";no;
;BCD_TO_**;1;(ANY_BIT);ANY_INT;"Conversion from BCD";no;BCD_TO_ANY
;*_TO_BCD;1;(ANY_INT);ANY_BIT;"Conversion to BCD";no;ANY_TO_BCD
;DATE_AND_TIME_TO_TIME_OF_DAY;1;(DT);TOD;"Conversion to time-of-day";no;
;DATE_AND_TIME_TO_DATE;1;(DT);DATE;"Conversion to date";no;
("Numerical");ABS;1;(ANY_NUM);ANY_NUM;"Absolute number";no;
;SQRT;1;(ANY_REAL);ANY_REAL;"Square root (base 2)";no;
;LN;1;(ANY_REAL);ANY_REAL;"Natural logarithm";no;
;LOG;1;(ANY_REAL);ANY_REAL;"Logarithm to base 10";no;
;EXP;1;(ANY_REAL);ANY_REAL;"Exponentiation";no;
;SIN;1;(ANY_REAL);ANY_REAL;"Sine";no;
;COS;1;(ANY_REAL);ANY_REAL;"Cosine";no;
;TAN;1;(ANY_REAL);ANY_REAL;"Tangent";no;
;ASIN;1;(ANY_REAL);ANY_REAL;"Arc sine";no;
;ACOS;1;(ANY_REAL);ANY_REAL;"Arc cosine";no;
;ATAN;1;(ANY_REAL);ANY_REAL;"Arc tangent";no;
("Arithmetic");ADD;1;(ANY_NUM, ANY_NUM);ANY_NUM;"Addition";yes;
;MUL;1;(ANY_NUM, ANY_NUM);ANY_NUM;"Multiplication";yes;
